paper_a,paper_b,similarity
End to End Object Detection with Transformers,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.299641
End to End Object Detection with Transformers,LLaMA Open and Efficient Foundation Language Models,0.299272
BERT Pretraining of Deep Bidirectional Transformers for,Grounding DINO,0.299016
Grounding DINO,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.298166
Attention Is All You Need,Implementing the Deep Q-Network,0.297117
Attention Is All You Need,Grounding DINO,0.297087
AST Audio Spectrogram Transformer,Grounding DINO,0.297085
BERT Pretraining of Deep Bidirectional Transformers for,Deep Reinforcement Learning from Human Preferences,0.297033
HuBERT Self-Supervised Speech Representation,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.296967
Implementing the Deep Q-Network,Language Models are Few Shot Learners,0.295616
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Robust Speech Recognition via Large-Scale Weak Supervision,0.294546
Learning Transferable Visual Models From Natural Language Supervision,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.294431
LLaMA Open and Efficient Foundation Language Models,Proximal Policy Optimization Algorithms,0.292948
BERT Pretraining of Deep Bidirectional Transformers for,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.292042
Implementing the Deep Q-Network,Masked Autoencoders Are Scalable Vision Learners,0.289466
AST Audio Spectrogram Transformer,LLaMA Open and Efficient Foundation Language Models,0.289424
BERT Pretraining of Deep Bidirectional Transformers for,Proximal Policy Optimization Algorithms,0.289089
An Image is Worth 16x16 words,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.287739
Mastering Atari Go Chess and Shogi by Planning with a learned model,Segment Anything,0.2871
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Segment Anything,0.284159
Robust Speech Recognition via Large-Scale Weak Supervision,VOYAGER An Open-Ended Embodied Agent,0.28319
HuBERT Self-Supervised Speech Representation,Segment Anything,0.281912
Grounding DINO,Proximal Policy Optimization Algorithms,0.279628
Adam A Method for Stochastic Optimization,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.279574
Language Models are Few Shot Learners,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.279529
Adam A Method for Stochastic Optimization,SELF-INSTRUCT Aligning Language Models,0.278643
Learning Transferable Visual Models From Natural Language Supervision,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.277476
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,HuBERT Self-Supervised Speech Representation,0.277308
Grounding DINO,VOYAGER An Open-Ended Embodied Agent,0.276741
Adam A Method for Stochastic Optimization,BERT Pretraining of Deep Bidirectional Transformers for,0.275783
Learning Transferable Visual Models From Natural Language Supervision,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.275373
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.275247
Attention Is All You Need,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.273932
Masked Autoencoders Are Scalable Vision Learners,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.272007
Masked Autoencoders Are Scalable Vision Learners,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.271627
BERT Pretraining of Deep Bidirectional Transformers for,Segment Anything,0.271475
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Grounding DINO,0.267288
HuBERT Self-Supervised Speech Representation,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.265036
DECOUPLED WEIGHT DECAY REGULARIZATION,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.264677
End to End Object Detection with Transformers,VOYAGER An Open-Ended Embodied Agent,0.264144
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,wav2vec 2.0 A Framework for Self-Supervised,0.263286
Mastering Atari Go Chess and Shogi by Planning with a learned model,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.262296
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Segment Anything,0.261496
DECOUPLED WEIGHT DECAY REGULARIZATION,VOYAGER An Open-Ended Embodied Agent,0.261214
Grounding DINO,Segment Anything,0.261095
DECOUPLED WEIGHT DECAY REGULARIZATION,LLaMA Open and Efficient Foundation Language Models,0.259975
Implementing the Deep Q-Network,Learning Transferable Visual Models From Natural Language Supervision,0.259816
Segment Anything,wav2vec 2.0 A Framework for Self-Supervised,0.25949
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,wav2vec 2.0 A Framework for Self-Supervised,0.2579
Adam A Method for Stochastic Optimization,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.256469
DECOUPLED WEIGHT DECAY REGULARIZATION,Segment Anything,0.255522
Adam A Method for Stochastic Optimization,An Image is Worth 16x16 words,0.255332
HuBERT Self-Supervised Speech Representation,Proximal Policy Optimization Algorithms,0.250545
Robust Speech Recognition via Large-Scale Weak Supervision,Segment Anything,0.250447
AST Audio Spectrogram Transformer,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.249931
Implementing the Deep Q-Network,SELF-INSTRUCT Aligning Language Models,0.249115
An Image is Worth 16x16 words,VOYAGER An Open-Ended Embodied Agent,0.248954
Implementing the Deep Q-Network,Robust Speech Recognition via Large-Scale Weak Supervision,0.24759
Deep Reinforcement Learning from Human Preferences,Robust Speech Recognition via Large-Scale Weak Supervision,0.245389
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.245045
DECOUPLED WEIGHT DECAY REGULARIZATION,MusicLM Generating Music From Text,0.244547
Deep Reinforcement Learning from Human Preferences,wav2vec 2.0 A Framework for Self-Supervised,0.243684
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,MusicLM Generating Music From Text,0.243129
MusicLM Generating Music From Text,VOYAGER An Open-Ended Embodied Agent,0.242143
MusicLM Generating Music From Text,Symbolic Discovery of Optimization Algorithms,0.239238
Deep Reinforcement Learning from Human Preferences,End to End Object Detection with Transformers,0.239096
Implementing the Deep Q-Network,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.238604
INCORPORATING NESTEROV MOMENTUM INTO ADAM,LLaMA Open and Efficient Foundation Language Models,0.237667
Attention Is All You Need,Deep Reinforcement Learning from Human Preferences,0.235724
Implementing the Deep Q-Network,wav2vec 2.0 A Framework for Self-Supervised,0.234677
HuBERT Self-Supervised Speech Representation,VOYAGER An Open-Ended Embodied Agent,0.234371
Adam A Method for Stochastic Optimization,VOYAGER An Open-Ended Embodied Agent,0.234353
Adam A Method for Stochastic Optimization,MusicLM Generating Music From Text,0.233928
Learning Transferable Visual Models From Natural Language Supervision,Segment Anything,0.232356
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,Segment Anything,0.229012
Grounding DINO,wav2vec 2.0 A Framework for Self-Supervised,0.227919
SELF-INSTRUCT Aligning Language Models,Segment Anything,0.227219
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,Proximal Policy Optimization Algorithms,0.226545
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.224945
Grounding DINO,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.222749
Masked Autoencoders Are Scalable Vision Learners,MusicLM Generating Music From Text,0.221526
End to End Object Detection with Transformers,Proximal Policy Optimization Algorithms,0.221452
End to End Object Detection with Transformers,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.221395
BERT Pretraining of Deep Bidirectional Transformers for,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.220422
An Image is Worth 16x16 words,MusicLM Generating Music From Text,0.219857
Grounding DINO,HuBERT Self-Supervised Speech Representation,0.218297
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.217224
An Image is Worth 16x16 words,Implementing the Deep Q-Network,0.216908
Deep Reinforcement Learning from Human Preferences,Segment Anything,0.216074
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,VOYAGER An Open-Ended Embodied Agent,0.214951
AST Audio Spectrogram Transformer,Adam A Method for Stochastic Optimization,0.214051
Adam A Method for Stochastic Optimization,LLaMA Open and Efficient Foundation Language Models,0.21346
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,MusicLM Generating Music From Text,0.212592
End to End Object Detection with Transformers,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.210717
DECOUPLED WEIGHT DECAY REGULARIZATION,Deep Reinforcement Learning from Human Preferences,0.208899
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Segment Anything,0.208392
AST Audio Spectrogram Transformer,Segment Anything,0.208238
Adam A Method for Stochastic Optimization,End to End Object Detection with Transformers,0.208186
Grounding DINO,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.208134
Adam A Method for Stochastic Optimization,Deep Reinforcement Learning from Human Preferences,0.207732
An Image is Worth 16x16 words,Proximal Policy Optimization Algorithms,0.207158
Adam A Method for Stochastic Optimization,Grounding DINO,0.207083
Deep Reinforcement Learning from Human Preferences,HuBERT Self-Supervised Speech Representation,0.20695
AST Audio Spectrogram Transformer,VOYAGER An Open-Ended Embodied Agent,0.206536
LLaMA Open and Efficient Foundation Language Models,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.206433
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,VOYAGER An Open-Ended Embodied Agent,0.205489
An Image is Worth 16x16 words,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.204709
AST Audio Spectrogram Transformer,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.203187
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Segment Anything,0.200598
Proximal Policy Optimization Algorithms,Segment Anything,0.200386
MusicLM Generating Music From Text,Proximal Policy Optimization Algorithms,0.200384
Implementing the Deep Q-Network,MusicLM Generating Music From Text,0.197036
Implementing the Deep Q-Network,LLaMA Open and Efficient Foundation Language Models,0.196152
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Deep Reinforcement Learning from Human Preferences,0.193991
HuBERT Self-Supervised Speech Representation,Implementing the Deep Q-Network,0.19392
An Image is Worth 16x16 words,Deep Reinforcement Learning from Human Preferences,0.193067
Deep Reinforcement Learning from Human Preferences,Grounding DINO,0.19284
AST Audio Spectrogram Transformer,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.191447
INCORPORATING NESTEROV MOMENTUM INTO ADAM,MusicLM Generating Music From Text,0.191433
End to End Object Detection with Transformers,Implementing the Deep Q-Network,0.190223
Deep Reinforcement Learning from Human Preferences,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.187064
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,MusicLM Generating Music From Text,0.178408
Deep Reinforcement Learning from Human Preferences,LLaMA Open and Efficient Foundation Language Models,0.177922
AST Audio Spectrogram Transformer,Implementing the Deep Q-Network,0.175731
Mastering Atari Go Chess and Shogi by Planning with a learned model,Robust Speech Recognition via Large-Scale Weak Supervision,0.175519
Grounding DINO,Implementing the Deep Q-Network,0.175342
LLaMA Open and Efficient Foundation Language Models,Segment Anything,0.174007
MusicLM Generating Music From Text,Segment Anything,0.172741
Grounding DINO,MusicLM Generating Music From Text,0.167707
Deep Reinforcement Learning from Human Preferences,MusicLM Generating Music From Text,0.167447
Implementing the Deep Q-Network,Segment Anything,0.166569
End to End Object Detection with Transformers,MusicLM Generating Music From Text,0.161723
Mastering Atari Go Chess and Shogi by Planning with a learned model,MusicLM Generating Music From Text,0.161405
DECOUPLED WEIGHT DECAY REGULARIZATION,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.156369
AST Audio Spectrogram Transformer,Proximal Policy Optimization Algorithms,0.148981
Grounding DINO,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.148461
Segment Anything,VOYAGER An Open-Ended Embodied Agent,0.146425
Mastering Atari Go Chess and Shogi by Planning with a learned model,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.143505
Adam A Method for Stochastic Optimization,Segment Anything,0.143161
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,Segment Anything,0.141244
Mastering Atari Go Chess and Shogi by Planning with a learned model,wav2vec 2.0 A Framework for Self-Supervised,0.131754
Language Models are Few Shot Learners,Segment Anything,0.130826
AST Audio Spectrogram Transformer,Deep Reinforcement Learning from Human Preferences,0.130791
HuBERT Self-Supervised Speech Representation,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.089377
AST Audio Spectrogram Transformer,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.059059
